2024-06-24 09:30:00,5459.58,5465.26,5459.58,5464.05
2024-06-24 09:35:00,5464.08,5465.92,5461.87,5465.72
2024-06-24 09:40:00,5465.78,5465.78,5458.5,5459.74
2024-06-24 09:45:00,5459.71,5464.36,5458.8,5461.02
2024-06-24 09:50:00,5461.54,5474.94,5461.36,5474.57
2024-06-24 09:55:00,5474.63,5479.05,5473.41,5478.51
2024-06-24 10:00:00,5477.66,5484.71,5477.57,5483.96
2024-06-24 10:05:00,5483.93,5490.66,5481.98,5490.62
2024-06-24 10:10:00,5490.51,5490.51,5483.9,5486.09
2024-06-24 10:15:00,5485.98,5486.63,5480.5,5483.55
2024-06-24 10:20:00,5483.42,5486.31,5482.79,5485.16
2024-06-24 10:25:00,5484.98,5485.84,5473.39,5474.85
2024-06-24 10:30:00,5474.98,5482.23,5474.45,5480.78
2024-06-24 10:35:00,5480.75,5484.25,5480.29,5482.75
2024-06-24 10:40:00,5482.69,5482.83,5474.25,5474.94
2024-06-24 10:45:00,5474.81,5477.41,5469.36,5469.4
2024-06-24 10:50:00,5469.34,5473.24,5468.08,5472.85
2024-06-24 10:55:00,5472.85,5481.54,5472.85,5480.97
2024-06-24 11:00:00,5481.06,5482.41,5477.93,5480.22
2024-06-24 11:05:00,5480.18,5480.78,5478.04,5479.09
2024-06-24 11:10:00,5479.17,5482.81,5478.91,5481.75
2024-06-24 11:15:00,5481.73,5484.2,5479.58,5484.05
2024-06-24 11:20:00,5484.13,5484.69,5478.9,5478.91
2024-06-24 11:25:00,5478.89,5483.69,5476.46,5482.27
2024-06-24 11:30:00,5482.19,5483.74,5479.21,5482.97
2024-06-24 11:35:00,5482.96,5483.87,5480.87,5483.07
2024-06-24 11:40:00,5483.11,5483.58,5480.73,5481.23
2024-06-24 11:45:00,5481.23,5482.01,5478.98,5480.0
2024-06-24 11:50:00,5480.06,5481.06,5477.78,5480.89
2024-06-24 11:55:00,5480.86,5483.13,5479.87,5483.13
2024-06-24 12:00:00,5483.17,5483.44,5480.55,5481.97
2024-06-24 12:05:00,5481.89,5481.89,5477.68,5479.25
2024-06-24 12:10:00,5479.3,5479.86,5476.8,5477.7
2024-06-24 12:15:00,5477.58,5482.73,5477.58,5482.38
2024-06-24 12:20:00,5482.39,5482.47,5480.25,5480.85
2024-06-24 12:25:00,5480.85,5481.78,5479.71,5481.13
2024-06-24 12:30:00,5481.0,5482.91,5480.3,5481.39
2024-06-24 12:35:00,5481.42,5483.02,5480.17,5480.96
2024-06-24 12:40:00,5480.95,5481.41,5477.0,5478.11
2024-06-24 12:45:00,5478.1,5479.56,5475.99,5478.29
2024-06-24 12:50:00,5478.36,5478.36,5474.71,5474.72
2024-06-24 12:55:00,5474.75,5476.02,5470.29,5472.13
2024-06-24 13:00:00,5472.05,5474.01,5471.04,5473.06
2024-06-24 13:05:00,5473.0,5473.19,5463.26,5464.34
2024-06-24 13:10:00,5464.53,5465.66,5461.12,5463.29
2024-06-24 13:15:00,5463.26,5467.23,5462.43,5465.1
2024-06-24 13:20:00,5465.12,5466.48,5461.84,5461.84
2024-06-24 13:25:00,5461.83,5466.17,5461.22,5463.81
2024-06-24 13:30:00,5463.78,5463.81,5457.76,5457.92
2024-06-24 13:35:00,5458.03,5466.37,5458.03,5466.28
2024-06-24 13:40:00,5466.23,5466.23,5462.9,5463.0
2024-06-24 13:45:00,5462.95,5464.05,5460.97,5462.19
2024-06-24 13:50:00,5462.13,5462.31,5459.02,5460.73
2024-06-24 13:55:00,5461.05,5464.99,5460.3,5460.37
2024-06-24 14:00:00,5460.52,5461.35,5457.07,5458.69
2024-06-24 14:05:00,5458.53,5460.57,5457.81,5459.76
2024-06-24 14:10:00,5459.75,5459.75,5456.87,5457.34
2024-06-24 14:15:00,5457.2,5459.13,5455.51,5458.52
2024-06-24 14:20:00,5458.59,5460.27,5457.22,5457.82
2024-06-24 14:25:00,5457.79,5458.4,5455.98,5458.25
2024-06-24 14:30:00,5458.35,5458.59,5455.97,5456.04
2024-06-24 14:35:00,5455.98,5461.67,5455.55,5461.44
2024-06-24 14:40:00,5461.46,5462.44,5460.0,5461.01
2024-06-24 14:45:00,5461.05,5465.83,5460.88,5465.21
2024-06-24 14:50:00,5465.25,5467.17,5463.59,5463.75
2024-06-24 14:55:00,5463.8,5464.43,5462.33,5463.34
2024-06-24 15:00:00,5463.36,5467.5,5462.35,5464.54
2024-06-24 15:05:00,5464.46,5467.61,5464.46,5466.25
2024-06-24 15:10:00,5466.11,5467.44,5464.44,5464.48
2024-06-24 15:15:00,5464.56,5465.02,5461.79,5462.73
2024-06-24 15:20:00,5462.66,5463.97,5461.02,5462.38
2024-06-24 15:25:00,5462.46,5464.93,5461.72,5463.19
2024-06-24 15:30:00,5463.17,5464.55,5461.53,5462.71
2024-06-24 15:35:00,5462.78,5464.88,5460.41,5461.87
2024-06-24 15:40:00,5462.11,5463.52,5460.28,5461.65
2024-06-24 15:45:00,5461.7,5462.59,5455.44,5456.71
2024-06-24 15:50:00,5456.87,5460.42,5454.72,5456.29
2024-06-24 15:55:00,5456.15,5456.15,5447.59,5448.93
2024-06-24 16:00:00,5448.79,5448.79,5447.81,5447.87
2024-06-24 16:05:00,5447.87,5447.87,5447.87,5447.87
